country,airport_name,latitude,longitude
KR,Muan International Airport,34.991406,126.382814
KW,Kuwait International Airport,29.226601,47.968899
KY,Owen Roberts International Airport,19.292801,-81.357697
KZ,Almaty International Airport,43.354267,77.042828
LA,Bokeo International Airport,20.323986,100.165392
LB,Beirut Rafic Hariri International Airport,33.820899963378906,35.488399505615234
LC,Hewanorra International Airport,13.7332,-60.952599
LK,Bandaranaike International Colombo Airport,7.180759906768799,79.88410186767578
LR,Roberts International Airport,6.23379,-10.3623
LS,Moshoeshoe I International Airport,-29.462299,27.5525
LT,Vilnius International Airport,54.634102,25.285801
LU,Luxembourg-Findel International Airport,49.6233333,6.2044444
LV,Liepaja International Airport,56.517502,21.096901
LY,Mitiga International Airport,32.89177,13.287878
MA,Al Massira Airport,30.322478,-9.412003
MD,Balti International Airport,47.837666,27.781108
ME,Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519
MF,Grand Case-l'Esperance Airport,18.100057,-63.047444
MG,Ivato Airport,-18.7969,47.478802
MH,Marshall Islands International Airport,7.06476,171.272003
MK,Skopje International Airport,41.958087,21.622581
ML,Modibo Keita International Airport,12.5335,-7.94994
MM,Mandalay International Airport,21.70219993591309,95.97789764404295
MN,Ulaanbaatar Chinggis Khaan International Airport,47.646916,106.819833
MO,Macau International Airport,22.149599,113.592003
MP,Rota International Airport,14.1743,145.242996
MQ,Martinique Aime Cesaire International Airport,14.591,-61.003201
MR,Nouakchott–Oumtounsy International Airport,18.31,-15.969722
MS,John A. Osborne Airport,16.791401,-62.193298
MT,Malta International Airport,35.857498,14.4775
MU,Sir Seewoosagur Ramgoolam International Airport,-20.430201,57.683601
MV,Male International Airport,4.191830158233643,73.52909851074219
MW,Chileka International Airport,-15.679100036621094,34.9739990234375
MX,Cozumel International Airport,20.514922,-86.928538
MY,Kuala Lumpur International Airport,2.74558,101.709999
MZ,Maputo Airport,-25.920799,32.572601
NC,Tiga Airport,-21.096407,167.80379
NE,Diori Hamani International Airport,13.4815,2.18361
NF,Norfolk Island International Airport,-29.041887,167.939616
NG,Nnamdi Azikiwe International Airport,9.00679,7.26317
NI,Bluefields Airport,11.991,-83.774101
NL,Amsterdam Airport Schiphol,52.308601,4.76389
NO,"Bergen Airport, Flesland",60.2934,5.21814
NP,Tribhuvan International Airport,27.6966,85.3591
NR,Nauru International Airport,-0.547458,166.919006
NU,Niue International Airport,-19.079030990600582,-169.92559814453125
NZ,Auckland International Airport,-37.01199,174.786331
OM,Duqm International Airport,19.501944,57.634167
PA,Tocumen International Airport,9.07136,-79.383499
PE,Jorge Chavez International Airport,-12.0219,-77.114305
PF,Faa'a International Airport,-17.553699,-149.606995
PG,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312
PH,Ninoy Aquino International Airport,14.5086,121.019997
PK,Islamabad International Airport,33.549,72.82566
PL,Gdansk Lech Wałesa Airport,54.377602,18.4662
PM,St Pierre Airport,46.76290130615234,-56.173099517822266
PR,Luis Munoz Marin International Airport,18.4394,-66.001801
PT,Faro Airport,37.0144004822,-7.96590995789
PW,Palau International Airport,7.36731,134.544236
PY,Aeropuerto Internacional Silvio Pettirossi,-25.240156,-57.519227
QA,Hamad International Airport,25.273056,51.608056
RE,Roland Garros Airport,-20.890087,55.518894
RO,Bucharest Henri Coanda International Airport,44.572127,26.103396
RS,Belgrade Nikola Tesla Airport,44.818401,20.309099
RU,Lipetsk Air Base,52.634998,39.445
RW,Kigali International Airport,-1.96863,30.1395
SA,Abha International Airport,18.2404,42.656601
SB,Honiara International Airport,-9.428,160.054993
SC,Seychelles International Airport,-4.67434,55.521801
SD,Khartoum International Airport,15.5895,32.5532
SE,Goteborg Landvetter Airport,57.6628,12.2798
SG,Singapore Changi Airport,1.35019,103.994003
SH,RAF Ascension Island,-7.9696,-14.3937
SI,Ljubljana Joze Pucnik Airport,46.223701,14.4576
SK,M. R. Stefanik Airport,48.1702,17.2127
SL,Lungi International Airport,8.61644,-13.1955
SN,Blaise Diagne International Airport,14.670878,-17.072829
SO,Egal International Airport,9.513207,44.082389
SR,Johan Adolf Pengel International Airport,5.45283,-55.187801
SS,Juba International Airport,4.87201,31.601101
ST,Sao Tome International Airport,0.378175,6.71215
SV,Monsenor Oscar Arnulfo Romero International Airport,13.4409,-89.055702
SX,Princess Juliana International Airport,18.041,-63.108898
SY,Damascus International Airport,33.4114990234375,36.51559829711914
SZ,King Mswati III International Airport,-26.358611,31.716944
TC,Providenciales International Airport,21.773697,-72.268321
TD,N'Djamena International Airport,12.1337,15.034
TG,Niamtougou International Airport,9.767330169677734,1.091249942779541
TH,Don Mueang International Airport,13.9126,100.607002
TJ,Gissar Air Base,38.512298584,68.67250061040001
TL,Suai Airport,-9.30331039428711,125.28700256347656
TM,Ashgabat International Airport,37.986801,58.361
TN,Tunis Carthage International Airport,36.851002,10.2272
TO,Fua'amotu International Airport,-21.241199493408203,-175.14999389648438
TR,Esenboga International Airport,40.128101,32.995098
TT,A.N.R. Robinson International Airport,11.1497,-60.832199
TV,Funafuti International Airport,-8.525,179.195999
TW,Kaohsiung International Airport,22.577101,120.349998
TZ,Julius Nyerere International Airport,-6.87811,39.202599
UA,Boryspil International Airport,50.345001,30.894699
UG,Entebbe International Airport,0.042386,32.443501
UM,Henderson Field,28.2017,-177.380997
US,Albuquerque International Sunport,35.039976,-106.608925
UY,Carrasco General Cesareo L. Berisso International Airport,-34.835647,-56.026497
UZ,Tashkent International Airport,41.2579,69.281197
VC,Argyle International Airport,13.156695,-61.149945
VE,General Jose Antonio Anzoategui International Airport,10.111111,-64.692222
VG,Terrance B. Lettsome International Airport,18.445492,-64.541707
VI,Cyril E. King Airport,18.337091,-64.977251
VN,Noi Bai International Airport,21.221201,105.806999
VU,Bauerfield International Airport,-17.699301,168.320007
WF,Hihifo Airport,-13.2383003235,-176.199005127
WS,Faleolo International Airport,-13.829999923706056,-172.00799560546875
XK,Pristina Adem Jashari International Airport,42.5728,21.035801
YE,Al Anad Air Base,13.1747,44.765099
YT,Dzaoudzi Pamandzi International Airport,-12.809319,45.281815
ZA,Cape Town International Airport,-33.9648017883,18.6016998291
ZM,Kenneth Kaunda International Airport,-15.330833,28.452722
ZW,Robert Gabriel Mugabe International Airport,-17.931801,31.0928
